name,lat,lng,type,affiiation,description
Charlotte Beard,37.42831,-122.19284,Academic Collaborators,Palo Alto University, https://www.paloaltou.edu/faculty/charlotte-beard-phd
Michelle Colder Carras,35.602821,-77.417229,Academic Collaborators,"John Hopkins University, US",https://www.researchgate.net/profile/Michelle-Colder-Carras
Hilarie Cash,47.606209,-122.332069,Academic Collaborators,"US Restart Treatment Centre, Seattle, Canada",https://www.restartlife.com/author/hcash/
Mark D Griffiths,52.987011,-0.99049,Academic Collaborators,"Nottingham Trent University, UK ", https://www.ntu.ac.uk/research/groups-and-centres/groups/the-international-gaming-research-unit
Frosso Motti Stefanidi,40.01262,-105.27068,Academic Collaborators," University of Athens, Greece",https://www.frossomotti.com/
Robby Ratan Michigan,42.70180484,-84.48140994,Academic Collaborators," Michigan State University, US",https://comartsci.msu.edu/our-people/rabindra-ratan
Lukas Blinka,49.19850721,16.60548056,Academic Collaborators,"Masaryk University, Czech Republic ",https://www.muni.cz/en/people/79130-lukas-blinka
Young Yim Doh,37.59272176,127.0472845,Academic Collaborators,"KAIST,  Seoul, South Korea",https://koasas.kaist.ac.kr/researcher-profile?perno=8556 
Jeffrey Snodgrass,40.74233007,-105.0265264,Academic Collaborators,"Colorado State University, Colorado US", https://www.libarts.colostate.edu/people/jsnodgra/
Stelios Papapetrou,35.14350841,33.36370918,Academic Collaborators,Cyprus Youth Organization,https://onek.org.cy/author/stelios-papapetrou/
Kai Mueller,49.99328058,8.260030664,Academic Collaborators," Outpatient Clinic for Behavioral Addictions, University Medical Center Mainz, Mainz, Germany.",https://www.researchgate.net/profile/Kai-Mueller-11
Georgios N. Yannakakis,35.90065042,14.48495896,Academic Collaborators," Institute of Digital Games, University of Malta",https://yannakakis.net/
Victorian Parents Council,-37.90451936,144.9982762,National Industry Collaborators,Melbourne,https://vicparentscouncil.vic.edu.au/
Turning Point,-37.81135286,144.9986807,National Industry Collaborators,Melbourne,https://www.turningpoint.org.au/
CatolicCare,-37.80754508,144.9772229,National Industry Collaborators,Melbourne,https://www.catholiccarevic.org.au/
Headspace,-37.82136719,145.0359311,National Industry Collaborators,Melbourne,https://www.headspace.com/
Dr Lee Kannis-Dymand,-26.71683057,153.0657603,Australian/ National Academic Collaborators,"University of the Sunshine Coast, Queensland",https://www.usc.edu.au/staff/dr-lee-kannis-dymand 
March& Evita,-38.31103691,146.4294013,Australian/ National Academic Collaborators,"Gippsland, Australia","https://federation.edu.au/schools/school-of-science-psychology-and-sport/staff-profiles/staff-directory/march,-evita "
Vassilis Kostakos,-37.79817633,144.9610491,Australian/ National Academic Collaborators,"University of Melbourne, Australia",https://people.eng.unimelb.edu.au/vkostakos/ 
Dylan Poulus,-28.16841601,153.5185974,Australian/ National Academic Collaborators,"Southern Cross University, Queensland",https://www.scu.edu.au/about/contacts/staff-directory/staff/50341.php 
